Row,Month,Year,Airline,MaxSeats,AllFlights
1,31/12/2003,2003,Air New Zealand,43532,273
2,31/12/2003,2003,Emirates,67774,182
3,31/12/2003,2003,Qantas Airways,161371,587
4,31/12/2003,2003,Thai Airways International,38248,115
5,31/12/2003,2003,Air China,21786,66
6,31/12/2003,2003,United Airlines,41640,120
7,31/12/2003,2003,Air Paradise International,9427,35
8,31/12/2003,2003,Australian Airlines,3189,12
9,31/12/2003,2003,Garuda Indonesia,9083,31
10,31/12/2003,2003,Freedom Air International,7100,50
11,31/12/2003,2003,China Southern Airlines,5166,18
12,31/12/2003,2003,Vietnam Airlines,12096,44
13,31/12/2003,2003,Cathay Pacific Airways,23829,95
14,31/12/2003,2003,Lauda Air,11008,32
15,31/12/2003,2003,Malaysia Airlines,33792,122
16,31/12/2003,2003,British Airways,40716,116
17,31/12/2003,2003,Philippine Airlines,7550,25
18,31/12/2003,2003,Air Mauritius,2940,10
19,31/12/2003,2003,Fiji Airways,9654,33
20,31/12/2003,2003,Nauru Airlines,880,8
21,31/12/2003,2003,Singapore Airlines,46422,131
22,31/12/2003,2003,China Eastern Airlines,1470,5
23,31/12/2004,2004,Air New Zealand,105964,647
24,31/12/2004,2004,Emirates,163927,478
25,31/12/2004,2004,Qantas Airways,326466,1236
26,31/12/2004,2004,Thai Airways International,90420,244
27,31/12/2004,2004,Air China,42140,140
28,31/12/2004,2004,Virgin Australia,22320,124
29,31/12/2004,2004,Air Paradise International,18141,67
30,31/12/2004,2004,Australian Airlines,9153,34
31,31/12/2004,2004,Garuda Indonesia,14650,50
32,31/12/2004,2004,Freedom Air International,16720,118
33,31/12/2004,2004,China Southern Airlines,10027,35
34,31/12/2004,2004,Vietnam Airlines,32082,102
35,31/12/2004,2004,Cathay Pacific Airways,62826,234
36,31/12/2004,2004,Lauda Air,30272,88
37,31/12/2004,2004,Malaysia Airlines,76949,244
38,31/12/2004,2004,British Airways,85644,244
39,31/12/2004,2004,United Airlines,83280,240
40,31/12/2004,2004,Philippine Airlines,15704,52
41,31/12/2004,2004,Air Mauritius,6174,21
42,31/12/2004,2004,Fiji Airways,22722,72
43,31/12/2004,2004,Nauru Airlines,1884,16
44,31/12/2004,2004,China Eastern Airlines,16177,56
45,31/12/2004,2004,Singapore Airlines,102990,302
46,31/12/2005,2005,Air New Zealand,114770,609
47,31/12/2005,2005,Emirates,174695,547
48,31/12/2005,2005,Qantas Airways,306674,1140
49,31/12/2005,2005,Thai Airways International,89604,248
