Month,Australian,International,(b) InFlightsAll,(b) OutFlightsAll,(b) InSeatsMax,(b) OutSeatsMax,Country,State,Latitude,Longitude,Population,Melbourne_Country,Melbourne_State,Melbourne_Latitude,Melbourne_Longitude,Melbourne_Population
1/09/2003,Melbourne,Auckland,"148","148","37279","37284",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/12/2003,Melbourne,Auckland,"174","174","41370","41540",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/03/2004,Melbourne,Auckland,"174","174","40452","40441",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/06/2004,Melbourne,Auckland,"180","180","37519","37584",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/09/2004,Melbourne,Auckland,"180","180","40328","40328",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/12/2004,Melbourne,Auckland,"184","184","45198","45199",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/03/2005,Melbourne,Auckland,"180","181","44663","44800",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/06/2005,Melbourne,Auckland,"158","157","40686","40442",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/09/2005,Melbourne,Auckland,"159","161","37835","38210",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/12/2005,Melbourne,Auckland,"181","183","42310","42555",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/01/2006,Melbourne,Auckland,"183","181","43770","43139",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/02/2006,Melbourne,Auckland,"162","163","44338","44421",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/03/2006,Melbourne,Auckland,"170","170","48603","48685",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/04/2006,Melbourne,Auckland,"150","150","43518","43521",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/05/2006,Melbourne,Auckland,"151","150","44598","44257",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/06/2006,Melbourne,Auckland,"150","148","43537","43154",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/07/2006,Melbourne,Auckland,"150","151","42909","43228",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/08/2006,Melbourne,Auckland,"155","154","43867","43775",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
1/09/2006,Melbourne,Auckland,"150","149","43163","42874",New Zealand,Auckland,-36.848055,174.763027,"1377200",Australia,Victoria,-37.818086,144.97307,"4170000"
