Survey month,Real Business Class,Real Business Class (13 Month Moving Average),Real Full Economy,Real Full Economy (13 Month Moving Average),Real Restricted Economy,Real Restricted Economy (13 Month Moving Average),Real Best Discount,Real Best Discount (13 Month Moving Average)
1/10/1992,71.3,71.4,86.8,87.3,,,125.8,125.8
1/11/1992,71.5,71.3,87.1,87.3,,,127.2,123.7
1/12/1992,71.7,71.3,88,87.3,,,128.1,121.4
1/01/1993,71.2,71.4,87.4,87.3,,,109.2,119.3
1/02/1993,71.7,71.7,87.3,87.3,,,117.7,117.8
1/03/1993,71.7,72.2,86.9,87.2,,,115.8,117.1
1/04/1993,71.4,73,87,87.2,,,120.2,116.3
1/05/1993,75,74,87.3,87.1,,,118.6,117.5
1/06/1993,76,74.9,87.4,87.1,,,120.9,119.5
1/07/1993,75.6,75.5,86.9,87.1,,,110.5,122
1/08/1993,75.2,75.8,87.1,87.1,,,126,124.7
1/09/1993,75.8,75.8,87.1,87.1,,,140.1,127.6
1/10/1993,75.6,75.7,87,87,,,125.6,129.5
1/11/1993,75.6,75.5,87,86.9,,,123.1,130
1/12/1993,75.6,75.3,87,86.8,,,138.6,129
1/01/1994,75.3,75.2,86.6,86.6,,,123.7,127.2
1/02/1994,75.3,75.4,86.6,86.5,,,124.5,125.1
1/03/1994,75.3,75.9,86.6,86.6,,,120.8,123.2
1/04/1994,75.3,76.8,86,86.8,,,123.7,121.2
1/05/1994,78.6,77.9,86.7,87.1,,,120.9,119.3
1/06/1994,80.1,78.9,88.3,87.4,,,118.6,118.2
1/07/1994,79.8,79.6,87.8,87.7,,,111.9,118.5
1/08/1994,79.8,79.9,87.8,87.8,,,122.6,119.6
1/09/1994,79.8,79.8,87.8,87.7,,,118.2,120.9
1/10/1994,79.1,79.5,87.1,87.4,,,125,121.9
1/11/1994,79.1,79.1,87.1,87,,,124.7,122.1
1/12/1994,79.1,78.7,87,86.6,,,128.4,121.7
1/01/1995,77.8,78.3,85.7,86.2,,,107.3,120.9
1/02/1995,77.8,77.8,85.7,85.7,,,123,120.2
1/03/1995,77.8,77.4,85.7,85.2,,,119.8,119.5
1/04/1995,76.8,77,84.5,84.8,,,122.9,119
1/05/1995,76.8,76.8,84.6,84.6,,,121.4,118.7
1/06/1995,76.8,76.9,84.6,84.7,,,110.5,118
1/07/1995,75.8,77.1,83.6,84.9,,,119,117.1
1/08/1995,78.4,77.4,86.2,85.2,,,114.2,115.8
1/09/1995,78.4,77.7,86.2,85.5,,,121.1,114.6
1/10/1995,77.8,77.8,85.6,85.7,,,112.8,113.7
1/11/1995,77.8,77.8,85.6,85.7,,,108.1,113.5
1/12/1995,77.8,77.9,85.6,85.7,,,116.3,113.5
1/01/1996,77.6,78.2,85.4,85.7,,,104.6,113.1
1/02/1996,77.6,78.7,85.4,85.8,,,123.1,112.9
1/03/1996,80.6,79.2,86.6,85.8,,,119.4,112.4
1/04/1996,80,79.6,86,85.8,,,104.5,111.7
1/05/1996,80.2,80,86,85.9,,,102.8,111.4
1/06/1996,80.2,80.3,86,86,,,116.9,111.9
1/07/1996,80,80.8,85.8,86.3,,,120.8,114.2
1/08/1996,80,81.5,85.8,86.9,,,107.5,118
1/09/1996,84,82.5,88.9,87.7,,,126,122.1
1/10/1996,83.9,83.6,88.8,88.7,,,125,125.4
1/11/1996,83.9,84.6,88.8,89.6,,,124.9,127.5
1/12/1996,86.1,85.3,91.2,90.4,,,143.6,127.9
1/01/1997,85.9,85.8,91.3,90.9,,,113.8,126.4
1/02/1997,85.9,86,91.1,91.2,,,125.5,123.7
1/03/1997,85.9,86.2,91.1,91.5,,,130.4,121.4
1/04/1997,86.3,86.3,91.7,91.8,,,113,121.4
1/05/1997,86.9,86.6,92.3,92.1,,,112.6,124.2
1/06/1997,86.9,87,92.3,92.4,,,136.6,129.3
1/07/1997,87.3,87.6,92.8,92.7,,,137.4,135.6
1/08/1997,87.3,88.4,92.9,92.8,,,137.8,141.1
1/09/1997,90.2,89.2,93,92.9,,,155.2,144.4
1/10/1997,90.1,89.9,92.7,92.9,,,140.3,145
1/11/1997,90.6,90.4,92.7,92.8,,,139.8,143.4
1/12/1997,90.6,90.6,92.8,92.8,,,154.5,140.2
1/01/1998,90.4,90.5,92.8,92.7,,,115.2,136.3
1/02/1998,90.4,90.3,92.9,92.7,,,140.7,132.1
1/03/1998,90.4,90.4,92.9,92.9,,,141.1,128.1
1/04/1998,90.1,90.8,92.7,93.2,,,114,125.1
1/05/1998,90.1,91.3,92.7,93.7,,,114.4,124.3
1/06/1998,93.3,91.9,95.7,94.1,,,140.9,126
1/07/1998,93.1,92.4,94.4,94.5,,,115.3,129.6
1/08/1998,92.6,92.7,94.7,94.8,,,133.3,134
1/09/1998,92.6,92.7,94.7,94.9,,,153.4,138.3
1/10/1998,92.2,92.6,94.9,94.8,,,137.6,141.3
1/11/1998,92.3,92.4,95,94.7,,,139.5,142.6
1/12/1998,92.3,92.3,94.4,94.6,,,139.8,141.9
1/01/1999,92.3,92.4,94.4,94.5,,,139.9,139.1
1/02/1999,92.3,92.5,94.4,94.4,,,140,134.6
1/03/1999,92.8,92.5,94.4,94.3,,,139.9,129.8
1/04/1999,92.4,92.4,94,94.2,,,112.6,125.6
1/05/1999,92.4,92.3,94,94.1,,,112.4,123.1
1/06/1999,92.4,92.1,94,93.9,,,138,123.3
1/07/1999,91.6,91.9,93.8,93.6,,,113,126.7
1/08/1999,91.6,91.6,93.2,93.4,,,137.3,131.5
1/09/1999,91.6,91.4,93.2,93.1,,,137.7,134.9
1/10/1999,91,91.2,92.7,92.9,,,137.1,135.4
1/11/1999,91,90.9,92.7,92.8,,,137.2,134.4
1/12/1999,91,90.6,93.1,92.6,,,143.1,132.7
1/01/2000,90.2,90.3,92.3,92.5,,,102.8,131
1/02/2000,90.2,90.1,92.8,92.5,,,136.4,129.1
1/03/2000,90.2,90.4,92.9,92.9,,,135.1,128.7
1/04/2000,89.6,91.1,92.2,93.6,,,141.8,127.8
1/05/2000,92.7,92.2,95.1,94.8,,,101.3,125.4
1/06/2000,92.8,93.5,95.5,96.1,,,137.9,121.7
1/07/2000,96,94.7,98.6,97.3,,,109,118.7
1/08/2000,96,95.6,98.7,98.3,,,138.8,117.1
1/09/2000,96.1,96.1,98.8,98.8,,,75,116.9
1/10/2000,95.8,96.1,98.5,98.8,,,134.3,116.8
1/11/2000,95.8,95.8,98.6,98.6,,,128.1,115.2
1/12/2000,95.8,95.5,98.7,98.3,,,122.5,111.4
1/01/2001,95,95.3,97.8,98,,,82.9,106.7
1/02/2001,95,95.2,97.7,97.9,,,109.3,101.7
1/03/2001,95,95.3,97.7,98,,,102.6,98.2
1/04/2001,95.8,95.5,98.6,98.3,,,82.4,97.4
1/05/2001,95.9,96,98.7,99,,,107.4,100.4
1/06/2001,95.9,96.5,98.7,99.8,,,105.8,104.7
1/07/2001,97.5,96.9,101.6,100.6,,,111.9,109.3
1/08/2001,97.5,97.2,101.7,101.1,,,106.5,113.7
1/09/2001,97.6,97.2,101.7,101.3,,,121.3,116.6
1/10/2001,96.8,97.1,100.8,101.2,,,121.2,116.8
1/11/2001,96.8,96.8,100.8,100.9,,,114.2,115.6
1/12/2001,96.8,96.6,100.7,100.5,,,121.6,114.5
1/01/2002,95.9,96.4,99.6,100.2,,,103.2,113.6
1/02/2002,96.2,96.3,100.2,100,,,102.2,113.4
1/03/2002,96.7,96.2,100.1,99.8,107,107.2,123.9,113.8
1/04/2002,96,96.1,99.4,99.6,108.5,106.7,125.2,114.4
1/05/2002,96,96,99.5,99.4,105,106.2,108.7,114.4
1/06/2002,96,96,98.9,99.3,104.8,105.6,109.4,113.7
1/07/2002,95.7,96,99.5,99.2,106.1,105.2,113.4,112.9
1/08/2002,96.8,96.4,98.8,99.2,104.4,104.9,112.3,112.5
1/09/2002,96.6,96.9,99.4,99.2,104.5,104.8,111.6,112.6
1/10/2002,95.9,97.3,98.8,99,105.1,104.8,113.3,112.3
1/11/2002,98.9,97.7,98.7,98.6,104.9,104.7,113.6,110.5
1/12/2002,99.8,98,99.3,98.2,104.8,104.5,113.1,107.7
1/01/2003,98.4,98.3,98.4,97.8,103.9,104.2,100.9,105
1/02/2003,95.2,98.7,94.3,97.7,104,104,92.7,102.9
1/03/2003,99.7,99.1,98.9,97.8,103.3,103.7,106.2,101.4
1/04/2003,100.7,99.5,99,98.3,102.2,103.2,104.3,100.9
1/05/2003,100.5,99.8,99,98.9,104.7,102.6,104.1,101.7
1/06/2003,100.5,100.2,99,99.4,102.3,101.9,99.5,102.9
1/07/2003,100,100.5,100,99.8,100,101,100,104.1
1/08/2003,98.4,101,100.1,99.9,99.1,100,102.4,105.3
1/09/2003,103,101.5,100.1,99.9,99.9,99.1,118.4,105.9
1/10/2003,102.5,102.1,99.7,100,99.1,98.4,103.7,106.3
1/11/2003,103.4,102.6,99.3,99.9,97,97.9,98.1,106.2
1/12/2003,102.7,102.7,100.3,99.6,97.1,97.6,115,105.5
1/01/2004,102.1,102.6,99.2,99.1,98.3,97.5,96.8,104.2
1/02/2004,102.1,102.2,99.2,98.6,98,97.9,96.6,102.5
1/03/2004,102.1,101.8,99.3,98.2,98,98.7,118.3,99.6
1/04/2004,101.7,101.5,94.6,98,97.5,99.7,89.5,95.8
1/05/2004,101.5,101.4,98.8,98.3,103.2,100.8,85.6,91.4
1/06/2004,101,101.8,100.1,99,102.8,101.8,94.6,87.2
1/07/2004,102.2,102.6,99.9,100,102.2,102.6,74.3,84.3
1/08/2004,102.3,103.6,100.2,101.2,102.3,103.1,83.9,83.2
1/09/2004,106.6,104.7,103,102.2,103.9,103.5,93,83.6
1/10/2004,105.9,105.6,103.1,102.9,103.8,104,74.3,84.7
1/11/2004,106.2,106,103.8,103.3,104.8,104.8,86.3,85.4
1/12/2004,106.2,106.1,103.6,103.4,104.8,106,95.7,85.6
1/01/2005,105.7,105.9,103,103.3,106.7,106.8,80.8,85.7
1/02/2005,105.6,105.9,103.2,103.4,105.9,106.6,82,85.5
1/03/2005,105.5,106,103.3,103.8,108.4,105.2,87.8,84.9
1/04/2005,105.9,106.5,103.6,104.4,107.8,102.6,83.1,84.1
