symbol,date,price
Business Class,31/12/1992,71.50
Business Class,31/12/1993,74.20
Business Class,31/12/1994,78.05
Business Class,31/12/1995,77.48
Business Class,31/12/1996,81.18
Business Class,31/12/1997,87.82
Business Class,31/12/1998,91.65
Business Class,31/12/1999,91.87
Business Class,31/12/2000,93.43
Business Class,31/12/2001,96.30
Business Class,31/12/2002,96.71
Business Class,31/12/2003,100.42
Business Class,31/12/2004,103.32
Business Class,31/12/2005,104.18
Business Class,31/12/2006,98.70
Business Class,31/12/2007,103.27
Business Class,31/12/2008,104.40
Business Class,31/12/2009,100.01
Business Class,31/12/2010,97.04
Business Class,31/12/2011,104.07
Business Class,31/12/2012,73.23
Business Class,31/12/2013,74.91
Business Class,31/12/2014,86.98
Business Class,31/12/2015,90.03
Business Class,31/12/2016,94.77
Business Class,31/12/2017,94.38
Business Class,31/12/2018,93.12
Business Class,31/12/2019,83.76
Business Class,31/12/2020,85.95
Business Class,31/12/2021,56.98
Business Class,31/12/2022,53.87
Business Class,31/12/2023,57.38
Full Economy,31/12/1992,87.30
Full Economy,31/12/1993,87.12
Full Economy,31/12/1994,87.12
Full Economy,31/12/1995,85.30
Full Economy,31/12/1996,87.06
Full Economy,31/12/1997,92.22
Full Economy,31/12/1998,93.98
Full Economy,31/12/1999,93.66
Full Economy,31/12/2000,96.06
Full Economy,31/12/2001,99.71
Full Economy,31/12/2002,99.35
Full Economy,31/12/2003,99.01
Full Economy,31/12/2004,100.40
Full Economy,31/12/2005,104.56
Full Economy,31/12/2006,107.70
Full Economy,31/12/2007,109.31
Full Economy,31/12/2008,89.50
Full Economy,31/12/2009,89.60
Full Economy,31/12/2010,91.47
Full Economy,31/12/2011,91.99
Full Economy,31/12/2012,117.62
Full Economy,31/12/2013,120.36
Full Economy,31/12/2014,117.43
Full Economy,31/12/2015,120.10
Restricted Economy,31/12/2002,105.51
Restricted Economy,31/12/2003,101.05
Restricted Economy,31/12/2004,101.63
Restricted Economy,31/12/2005,98.53
Restricted Economy,31/12/2006,92.91
Restricted Economy,31/12/2007,97.46
Restricted Economy,31/12/2008,99.14
Restricted Economy,31/12/2009,96.02
Restricted Economy,31/12/2010,93.27
Restricted Economy,31/12/2011,78.81
Restricted Economy,31/12/2012,67.77
Restricted Economy,31/12/2013,71.91
Restricted Economy,31/12/2014,74.90
Restricted Economy,31/12/2015,78.39
Restricted Economy,31/12/2016,79.73
Restricted Economy,31/12/2017,84.23
Restricted Economy,31/12/2018,99.61
Restricted Economy,31/12/2019,102.10
Restricted Economy,31/12/2020,107.37
Restricted Economy,31/12/2021,77.78
Restricted Economy,31/12/2022,75.06
Restricted Economy,31/12/2023,80.81
Best Discount,31/12/1992,127.03
Best Discount,31/12/1993,122.19
Best Discount,31/12/1994,121.92
Best Discount,31/12/1995,116.37
Best Discount,31/12/1996,118.26
Best Discount,31/12/1997,133.08
Best Discount,31/12/1998,132.10
Best Discount,31/12/1999,132.35
Best Discount,31/12/2000,121.92
Best Discount,31/12/2001,107.26
Best Discount,31/12/2002,112.49
Best Discount,31/12/2003,103.78
Best Discount,31/12/2004,90.74
Best Discount,31/12/2005,88.11
Best Discount,31/12/2006,92.12
Best Discount,31/12/2007,91.98
Best Discount,31/12/2008,78.68
Best Discount,31/12/2009,69.68
Best Discount,31/12/2010,57.84
Best Discount,31/12/2011,64.62
Best Discount,31/12/2012,65.49
Best Discount,31/12/2013,63.51
Best Discount,31/12/2014,59.19
Best Discount,31/12/2015,61.25
Best Discount,31/12/2016,61.41
Best Discount,31/12/2017,65.16
Best Discount,31/12/2018,68.36
Best Discount,31/12/2019,64.90
Best Discount,31/12/2020,78.19
Best Discount,31/12/2021,61.07
Best Discount,31/12/2022,74.15
Best Discount,31/12/2023,68.38
